id,rank,compoundability,arity,types,contextuality,distributivity,genericity,slot_tags,tags,etymologies,homoeventives,similar,antonyms,hypernyms,hyponyms,holonyms,meronyms,related,alt,definition,pss,nss,,symbol,eng_id,eng_def,eng_notes,proglangs_lem, ,wiktionary_id,wikidata_id,wordnet_id,hownet_id,framenet_id,opencyc_id
id,rank,compoundability,arity,types,contextuality,distributivity,genericity,slot tags,tags,etymologies,homoeventives,similar,antonyms,hypernyms,hyponyms,holonyms,meronyms,related,alt,definition,positive sample media,negative sample media, ,symbol,English ID,English definition,English notes,proglangs lemmas, ,Wiktionary SenseID,WikiData ID,WordNet sense key,HowNet,FrameNet,OpenCyc
giliya,,,1,,,,,,constant,,,,,,,,,,,,,, ,∅,is_null,➊ is the Null constant.,,[c] NULL; [js] null; [py] None, ,,,,,,
vibase,,,1,ℝ,✗,s,,,constant number mathematics mathematical_constant,,,,,,,,,,,𝜆➊ tenohi ➊ [wifejo ➋] [𝜆n (1 + 1 / n) ^ n],,, ,ℯ ⅇ 𝒆,is_Euler’s_number,➊ is Euler's number ℯ.,,, ,,,,,,
wifejo,,,1,ℝ,✗,s,,,constant number mathematics mathematical_constant,,,,,,,,,,,𝜆➊ ∀n niyuna ➊ ⇒ zovahi ➊ n,,, ,∞,is_infinity,➊ is infinity (mathematical constant ∞).,,, ,,,,,,
kuyale,,,1,ℝ,✗,s,,,constant number mathematics mathematical_constant,,,,,,,,,,,𝜆➊ tenohi ➊ [wifejo ➋] [𝜆α 𝜆β fupuva α [𝜆r 𝜆n r = (−1 ^ (n + 1)) / (2 × n + 1) ] [𝜆m m ≥ 1 ∧ m ≤ k]],,, ,π ℼ 𝝅,is_pi_number,"➊ is the number π, the ratio of a circle's circumference to its diameter.",,, ,,,,,,
takolo,,,1,ℝ,✗,s,,,constant number mathematics mathematical_constant,,,,,,,,,,,𝜆➊ naboji ➊ 2 π,,, ,τ 𝝉,is_tau_number,"➊ is the number τ, the ratio of a circle's circumference to its radius.",,, ,,,,,,
wenegi,,,1,ℝ,✗,s,,,constant number mathematics mathematical_constant,,,,,,,,,,,𝜆➊ zuyara [befowa ➊ ➋ 2] ➋ 1,,, ,φ 𝝋,is_phi_number,"➊ is the number φ, the golden ratio.",,, ,,,,,,
culumo,,,1,ℝ,✗,s,,,constant number physical_constant,,,,,,,,,,,,,, ,,is_speed_of_light,"➊ is celerity, the speed of light.",,, ,,,,,,
woyasi,a,,1,ℝ,✗,s,,,constant number physical_constant,,,,,,,,,,,,,, ,㎅,is_the_Boltzmann_constant,➊ is the Boltzmann constant.,,, ,,,,,,
rofita,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is a LISP programming language.,,, ,,,,,,
vusivu,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the APL programming language.,,, ,,,,,,
ricuwo,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the BQN programming language.,,, ,,,,,,
dedora,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Bash programming language.,,, ,,,,,,
zawuza,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the C programming language.,,, ,,,,,,
sazefo,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the C# programming language.,,, ,,,,,,
yayido,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the C++ programming language.,,, ,,,,,,
tuqiso,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Clojure programming language.,,, ,,,,,,
ziqaqi,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Common Lisp programming language.,,, ,,,,,,
hesiti,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Dart programming language.,,, ,,,,,,
qunubu,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the F# programming language.,,, ,,,,,,
medefa,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Fortran programming language.,,, ,,,,,,
koname,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Go programming language.,,, ,,,,,,
tujujo,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the HTML markup language.,,, ,,,,,,
vatuno,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Haskell programming language.,,, ,,,,,,
kegiva,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Idris programming language.,,, ,,,,,,
kobato,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Java programming language.,,, ,,,,,,
ziwejo,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Javascript programming language.,,, ,,,,,,
homayu,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Julia programming language.,,, ,,,,,,
ruhuje,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Kotlin programming language.,,, ,,,,,,
wizawi,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Lua programming language.,,, ,,,,,,
wahuga,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,,,,,➊ is the Mercury programming language.,,,,,,,,,
sowote,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Nim programming language.,,, ,,,,,,
qikuge,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Objective-C programming language.,,, ,,,,,,
fogejo,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the PHP programming language.,,, ,,,,,,
ribajo,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Pascal programming language.,,, ,,,,,,
kicofe,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Perl programming language.,,, ,,,,,,
ticufo,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Prolog programming language.,,, ,,,,,,
duruge,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Python programming language.,,, ,,,,,,
vajafo,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the R programming language.,,, ,,,,,,
luyeyo,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Ruby programming language.,,, ,,,,,,
damapu,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Rust programming language.,,, ,,,,,,
kerahe,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the SQL programming language.,,, ,,,,,,
zidaju,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Scala programming language.,,, ,,,,,,
yiqizi,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Scheme programming language.,,, ,,,,,,
ponege,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Swift programming language.,,, ,,,,,,
lifina,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the TypeScript programming language.,,, ,,,,,,
zawabu,,,1,a,,,,,contextual_constant abstract_temporal_entity programming_language,,,,,,,,,,,,,, ,,,➊ is the Zig programming language.,,, ,,,,,,
fiwoye,,,1,s,,s,,,contextual_constant geographic_entity,,,,,,,,,,,,,, ,,is_Asia,➊ is Asia.,,, ,,,,,,
yosega,,,1,s,,s,,,contextual_constant geographic_entity continent,,,,,,,,,,,,,, ,,is_Africa,➊ is Africa.,,, ,,,,,,
