id,rank,compoundability,arity,types,contextuality,distributivity,genericity,slot_tags,tags,etymologies,homoeventives,similar,antonyms,hypernyms,hyponyms,holonyms,meronyms,related,alt,definition,pss,nss,,symbol,eng_id,eng_def,eng_notes,proglangs_lem, ,wiktionary_id,wikidata_id,wordnet_id,hownet_id,framenet_id,opencyc_id,eng_lem,cmn_lem,hin_lem,spa_lem,ara_lem,ben_lem,fra_lem,ind_lem,por_lem,rus_lem,pcm_lem,arz_lem,hau_lem,swa_lem,deu_lem,mar_lem,vie_lem,tel_lem,jpn_lem,tgl_lem,tur_lem,eus_lem,esperanto_lem,klingon_lem,lojban_lem,loglan_lem,nijbo_lem,toaq_lem,new_ithkuil_lem,xextan_lem,eberban_lem,nahaıwa_lem
id,rank,compoundability,arity,types,contextuality,distributivity,genericity,slot tags,tags,etymologies,homoeventives,similar,antonyms,hypernyms,hyponyms,holonyms,meronyms,related,alt,definition,positive sample media,negative sample media, ,symbol,English ID,English definition,English notes,proglangs lemmas, ,Wiktionary SenseID,WikiData ID,WordNet sense key,HowNet,FrameNet,OpenCyc,English lemmas,Mandarin lemmas,Hindi lemmas,Spanish lemmas,Standard Arabic lemmas,Bengali lemmas,French lemmas,Indonesian lemmas,Portuguese lemmas,Russian lemmas,Nigerian Pidgin lemmas,Egyptian Arabic lemmas,Hausa lemmas,Swahili lemmas,German lemmas,Marathi lemmas,Vietnamese lemmas,Telugu lemmas,Japanese lemmas,Tagalog lemmas,Turkish lemmas,Basque lemmas,Esperanto lemmas,Klingon lemmas,Lojban lemmas,Loglan lemmas,Nijbo lemmas,Toaq lemmas,New Ithkuil lemmas,Xextan lemmas,Eberban lemmas,Nahaıwa lemmas
giliya,,,1,,,,,,constant,,,,,,,,,,,,,, ,∅,is_null,➊ is the Null constant.,,[c] NULL; [js] null; [py] None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vibase,,,1,ℝ,✗,s,,,constant number mathematics mathematical_constant,,,,,,,,,,,𝜆➊ tenohi ➊ [wifejo ➋] [𝜆n (1 + 1 / n) ^ n],,, ,ℯ ⅇ 𝒆,is_Euler’s_number,➊ is Euler's number ℯ.,,, ,,,,,,,Euler's number ∈N·,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wifejo,,,1,ℝ,✗,s,,,constant number mathematics mathematical_constant,,,,,,,,,,,𝜆➊ ∀n niyuna ➊ ⇒ zovahi ➊ n,,, ,∞,is_infinity,➊ is infinity (mathematical constant ∞).,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuyale,,,1,ℝ,✗,s,,,constant number mathematics mathematical_constant,,,,,,,,,,,𝜆➊ tenohi ➊ [wifejo ➋] [𝜆α 𝜆β fupuva α [𝜆r 𝜆n r = (−1 ^ (n + 1)) / (2 × n + 1) ] [𝜆m m ≥ 1 ∧ m ≤ k]],,, ,π ℼ 𝝅,is_pi_number,"➊ is the number π, the ratio of a circle's circumference to its diameter.",,, ,,,,,,,pi ∈N·; the number pi ∈DP·; π ∈N·,,,,,,,,,,,,,,,,,,,,pi ∈N·,,,,,,,kıoqseu₁; pızıu₁,,,,
takolo,,,1,ℝ,✗,s,,,constant number mathematics mathematical_constant,,,,,,,,,,,𝜆➊ naboji ➊ 2 π,,, ,τ 𝝉,is_tau_number,"➊ is the number τ, the ratio of a circle's circumference to its radius.",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wenegi,,,1,ℝ,✗,s,,,constant number mathematics mathematical_constant,,,,,,,,,,,𝜆➊ zuyara [befowa ➊ ➋ 2] ➋ 1,,, ,φ 𝝋,is_phi_number,"➊ is the number φ, the golden ratio.",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
culumo,,,1,ℝ,✗,s,,,constant number physical_constant,,,,,,,,,,,,,, ,,is_speed_of_light,"➊ is celerity, the speed of light.",,, ,,,,,,,celerity ∈N·; the speed of light ∈DP·,,,,,,,,,,,,,,,,,,,,ışıkhızı ∈N·,,,,,,,,,,,
woyasi,a,,1,ℝ,✗,s,,,constant number physical_constant,,,,,,,,,,,,,, ,㎅,is_the_Boltzmann_constant,➊ is the Boltzmann constant.,,, ,,,,,,,the Bolzmann constant ∈DP·,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
